,song,artist,album,duration,date,date_album,explicit,popularity,adalaber,imagen,url_cancion,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
116,Lucky Man,The Verve,Urban Hymns (Deluxe / Remastered 2016),293586,2022-09-19T06:42:34Z,1997-09-29,False,66,user8,https://i.scdn.co/image/ab67616d0000b273c038b03e66fb6de76a5b3904,https://open.spotify.com/track/2mxPSHEwjJWOQS7lGw6btF,spotify:track:2mxPSHEwjJWOQS7lGw6btF,0.407,0.663,2,-7.591,1,0.0305,0.255,0.000166,0.0913,0.211,75.989
117,I Guess That's Why They Call It The Blues,Elton John,Too Low For Zero,285333,2022-09-19T06:42:40Z,1983-05-30,False,69,user8,https://i.scdn.co/image/ab67616d0000b273eb11e2abccdca41f39ad3b89,https://open.spotify.com/track/23l1kVpqMVREiwU1YAlcr4,spotify:track:23l1kVpqMVREiwU1YAlcr4,0.673,0.663,0,-7.29,1,0.0269,0.217,0.017,0.177,0.671,120.634
118,I Want More,KALEO,I Want More / Break My Baby,212392,2022-09-19T06:42:56Z,2020-01-15,False,55,user8,https://i.scdn.co/image/ab67616d0000b2732b52c71710e60f97f19439d4,https://open.spotify.com/track/4xQRRue5qsu2tULiz7UDKi,spotify:track:4xQRRue5qsu2tULiz7UDKi,0.55,0.531,8,-7.431,1,0.0309,0.256,0.0,0.0509,0.364,98.014
119,Hand In Hand,Dire Straits,Making Movies,287800,2022-09-19T06:43:20Z,1980-10-17,False,49,user8,https://i.scdn.co/image/ab67616d0000b273d5b6cadaeec32b45bf0d7cf7,https://open.spotify.com/track/1N5w5JlZKaeOMJLziWRq6L,spotify:track:1N5w5JlZKaeOMJLziWRq6L,0.664,0.48,9,-10.883,0,0.0315,0.404,0.000388,0.106,0.438,107.695
120,My Universe,"['Coldplay', 'BTS']",Music Of The Spheres,226198,2022-09-19T07:04:11Z,2021-10-15,False,80,user8,https://i.scdn.co/image/ab67616d0000b273ec10f247b100da1ce0d80b6d,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI,spotify:track:46HNZY1i7O6jwTA7Slo2PI,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006
121,Tierra,Xoel López,Atlántico,238386,2022-09-19T07:04:44Z,2012-04-17,False,49,user8,https://i.scdn.co/image/ab67616d0000b27317d578892a759229763e3263,https://open.spotify.com/track/6wNnwGKmH9u2HSAjUQ4kdR,spotify:track:6wNnwGKmH9u2HSAjUQ4kdR,0.437,0.532,4,-11.022,1,0.0329,0.676,0.000646,0.101,0.543,87.02
122,Alex Turner,Ginebras,Ansiedad,159786,2022-09-19T07:06:05Z,2022-09-08,True,28,user8,https://i.scdn.co/image/ab67616d0000b273ee3a43d82a5f63089026d6f2,https://open.spotify.com/track/1Gj956HpDmOloOcmlT0NWq,spotify:track:1Gj956HpDmOloOcmlT0NWq,0.229,0.926,11,-2.677,1,0.0461,0.00013,0.218,0.354,0.73,123.957
123,She's A Rainbow,The Rolling Stones,She's A Rainbow / Dandelion / We Love You,253720,2022-09-19T07:06:26Z,2020-10-09,False,65,user8,https://i.scdn.co/image/ab67616d0000b273b98f37642280c7edad050c5e,https://open.spotify.com/track/6KOtheMY0KN4s9TrQHr9It,spotify:track:6KOtheMY0KN4s9TrQHr9It,0.464,0.824,10,-7.359,1,0.0374,0.467,0.018,0.33,0.539,109.298
124,Some Kind Of Love,The Killers,Wonderful Wonderful,278093,2022-09-19T07:06:39Z,2017-09-22,False,51,user8,https://i.scdn.co/image/ab67616d0000b273f65523eab3152dcca83b6fca,https://open.spotify.com/track/0vicQm86o7GnT42GdG34sA,spotify:track:0vicQm86o7GnT42GdG34sA,0.246,0.482,8,-9.949,1,0.0359,0.713,0.226,0.102,0.0776,141.863
125,JOVEN PARA SIEMPRE,Funzo & Baby Loud,JOVEN PARA SIEMPRE,169374,2022-09-19T07:06:52Z,2021-03-05,False,55,user8,https://i.scdn.co/image/ab67616d0000b2731b3e8b294b6809f6c719e59a,https://open.spotify.com/track/2hSBhzE4hbWRWl4PLMiJsu,spotify:track:2hSBhzE4hbWRWl4PLMiJsu,0.537,0.904,5,-5.868,1,0.106,0.0399,0.0,0.393,0.75,179.961
126,Libertad,Nil Moliner,Libertad,218079,2022-09-19T09:52:50Z,2021-04-09,False,60,user8,https://i.scdn.co/image/ab67616d0000b273dd229df301b6eb02e0ee6a2c,https://open.spotify.com/track/6Qi1MNFHCLo4bVsV14MOmz,spotify:track:6Qi1MNFHCLo4bVsV14MOmz,0.605,0.703,4,-6.707,1,0.0303,0.0648,0.0,0.117,0.686,132.081
127,National Anthem of the Ussr,The Red Army Choir,The Best of the Red Army Choir,224720,2022-09-21T08:32:57Z,2002,False,44,user4,https://i.scdn.co/image/ab67616d0000b273e5c8e5d1513b52288c186b4b,https://open.spotify.com/track/5q8idxw8fkJCajhQoYN894,spotify:track:5q8idxw8fkJCajhQoYN894,0.248,0.351,3,-6.735,1,0.0317,0.57,0.342,0.0775,0.511,67.9
128,It's Oh So Quiet,Björk,Post,218733,2022-09-30T06:30:27Z,1995-06-13,False,57,user3,https://i.scdn.co/image/ab67616d0000b2735092260f47e0d95717b834c3,https://open.spotify.com/track/3CMVjlbvNJMHDfYPX7xCpi,spotify:track:3CMVjlbvNJMHDfYPX7xCpi,0.461,0.129,3,-14.189,1,0.0565,0.652,0.0,0.07,0.246,129.19
129,Femme Like U (feat. Emma Peters),"['Monaldin', 'Emma Peters']",Femme Like U (feat. Emma Peters),137824,2022-10-07T08:20:57Z,2020-11-13,False,62,user3,https://i.scdn.co/image/ab67616d0000b2733b7dea13c00bdb81fc7c1b4a,https://open.spotify.com/track/670E2HDx684Yq0rhf84CQc,spotify:track:670E2HDx684Yq0rhf84CQc,0.749,0.655,6,-9.008,0,0.0552,0.578,0.0972,0.222,0.477,114.975
